location_name,state_province,country,country_code,latitude,longitude,location_type,language_code,geo_code
New York,NY,United States,US,40.7127281,-74.0060152,city,en,US-NY-501
Los Angeles,CA,United States,US,34.0536909,-118.242766,city,en,US-CA-803
Chicago,IL,United States,US,41.8755616,-87.6244212,city,en,US-IL-602
Houston,TX,United States,US,29.7589382,-95.3676974,city,en,US-TX-618
Phoenix,AZ,United States,US,33.4484367,-112.074141,city,en,US-AZ-753
Philadelphia,PA,United States,US,39.9527237,-75.1635262,city,en,US-PA-504
San Antonio,TX,United States,US,29.4246002,-98.4951405,city,en,US-TX-641
San Diego,CA,United States,US,32.7174202,-117.162772,city,en,US-CA-825
Dallas,TX,United States,US,32.7762719,-96.7968559,city,en,US-TX-623
San Jose,CA,United States,US,37.3361663,-121.890591,city,en,US-CA-807
Austin,TX,United States,US,30.2711286,-97.7436995,city,en,US-TX-635
Jacksonville,FL,United States,US,30.3321838,-81.655651,city,en,US-FL-561
Fort Worth,TX,United States,US,32.753177,-97.3327459,city,en,US-TX-623
Columbus,OH,United States,US,39.9622601,-83.0007065,city,en,US-OH-509
Charlotte,NC,United States,US,35.2272086,-80.8430827,city,en,US-NC-517
San Francisco,CA,United States,US,37.7792588,-122.4193286,city,en,US-CA-807
Indianapolis,IN,United States,US,39.7683331,-86.1583502,city,en,US-IN-527
Seattle,WA,United States,US,47.6038321,-122.330062,city,en,US-WA-819
Denver,CO,United States,US,39.7392364,-104.984862,city,en,US-CO-751
Washington,DC,United States,US,38.8950368,-77.0365427,city,en,US-DC-511
Boston,MA,United States,US,42.3554334,-71.060511,city,en,US-MA-506
Detroit,MI,United States,US,42.3315509,-83.0466403,city,en,US-MI-505
Nashville,TN,United States,US,36.1622767,-86.7742984,city,en,US-TN-659
Portland,OR,United States,US,45.5202471,-122.674194,city,en,US-OR-820
Memphis,TN,United States,US,35.1460249,-90.0517638,city,en,US-TN-640
Oklahoma City,OK,United States,US,35.4729886,-97.5170536,city,en,US-OK-650
Las Vegas,NV,United States,US,36.1674263,-115.1484131,city,en,US-NV-839
Louisville,KY,United States,US,38.2542376,-85.759407,city,en,US-KY-529
Baltimore,MD,United States,US,39.2908816,-76.610759,city,en,US-MD-512
Milwaukee,WI,United States,US,43.0386475,-87.9090751,city,en,US-WI-617
Albuquerque,NM,United States,US,35.0841034,-106.650985,city,en,US-NM-790
Tucson,AZ,United States,US,32.2228765,-110.974847,city,en,US-AZ-789
Fresno,CA,United States,US,36.7394421,-119.78483,city,en,US-CA-866
Mesa,AZ,United States,US,33.4151005,-111.831455,city,en,US-AZ-753
Sacramento,CA,United States,US,38.5810606,-121.493895,city,en,US-CA-862
Atlanta,GA,United States,US,33.7544657,-84.3898151,city,en,US-GA-524
Kansas City,MO,United States,US,39.100105,-94.5781416,city,en,US-MO-616
Colorado Springs,CO,United States,US,38.8339578,-104.825348,city,en,US-CO-752
Miami,FL,United States,US,25.7741728,-80.19362,city,en,US-FL-528
Raleigh,NC,United States,US,35.7803977,-78.6390989,city,en,US-NC-560
Omaha,NE,United States,US,41.2587459,-95.9383758,city,en,US-NE-652
