date,latitude,longitude,country,value,location,geo_code,search_term,year,language,translated_term
2023-12-31,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-01-07,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-01-14,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-01-21,-3.7319,-38.5267,Brazil,66,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-01-28,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-02-04,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-02-11,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-02-18,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-02-25,-3.7319,-38.5267,Brazil,70,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-03-03,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-03-10,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-03-17,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-03-24,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-03-31,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-04-07,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-04-14,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-04-21,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-04-28,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-05-05,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-05-12,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-05-19,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-05-26,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-06-02,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
2024-06-09,-3.7319,-38.5267,Brazil,0,Fortaleza,BR,Bass Fishing,2024,en,Bass Fishing
