date,latitude,longitude,country,state_province,search_count,location,geo_code,search_term,year
2023-12-31,51.04427,-114.062019,Canada,Alberta,16,Calgary,CA-AB,Bass Fishing,2024
2024-01-07,51.04427,-114.062019,Canada,Alberta,26,Calgary,CA-AB,Bass Fishing,2024
2024-01-14,51.04427,-114.062019,Canada,Alberta,21,Calgary,CA-AB,Bass Fishing,2024
2024-01-21,51.04427,-114.062019,Canada,Alberta,21,Calgary,CA-AB,Bass Fishing,2024
2024-01-28,51.04427,-114.062019,Canada,Alberta,25,Calgary,CA-AB,Bass Fishing,2024
2024-02-04,51.04427,-114.062019,Canada,Alberta,20,Calgary,CA-AB,Bass Fishing,2024
2024-02-11,51.04427,-114.062019,Canada,Alberta,22,Calgary,CA-AB,Bass Fishing,2024
2024-02-18,51.04427,-114.062019,Canada,Alberta,25,Calgary,CA-AB,Bass Fishing,2024
2024-02-25,51.04427,-114.062019,Canada,Alberta,28,Calgary,CA-AB,Bass Fishing,2024
2024-03-03,51.04427,-114.062019,Canada,Alberta,23,Calgary,CA-AB,Bass Fishing,2024
2024-03-10,51.04427,-114.062019,Canada,Alberta,28,Calgary,CA-AB,Bass Fishing,2024
2024-03-17,51.04427,-114.062019,Canada,Alberta,31,Calgary,CA-AB,Bass Fishing,2024
2024-03-24,51.04427,-114.062019,Canada,Alberta,33,Calgary,CA-AB,Bass Fishing,2024
2024-03-31,51.04427,-114.062019,Canada,Alberta,35,Calgary,CA-AB,Bass Fishing,2024
2024-04-07,51.04427,-114.062019,Canada,Alberta,35,Calgary,CA-AB,Bass Fishing,2024
2024-04-14,51.04427,-114.062019,Canada,Alberta,38,Calgary,CA-AB,Bass Fishing,2024
2024-04-21,51.04427,-114.062019,Canada,Alberta,38,Calgary,CA-AB,Bass Fishing,2024
2024-04-28,51.04427,-114.062019,Canada,Alberta,45,Calgary,CA-AB,Bass Fishing,2024
2024-05-05,51.04427,-114.062019,Canada,Alberta,44,Calgary,CA-AB,Bass Fishing,2024
2024-05-12,51.04427,-114.062019,Canada,Alberta,50,Calgary,CA-AB,Bass Fishing,2024
2024-05-19,51.04427,-114.062019,Canada,Alberta,71,Calgary,CA-AB,Bass Fishing,2024
2024-05-26,51.04427,-114.062019,Canada,Alberta,55,Calgary,CA-AB,Bass Fishing,2024
2024-06-02,51.04427,-114.062019,Canada,Alberta,56,Calgary,CA-AB,Bass Fishing,2024
2024-06-09,51.04427,-114.062019,Canada,Alberta,77,Calgary,CA-AB,Bass Fishing,2024
2024-06-16,51.04427,-114.062019,Canada,Alberta,76,Calgary,CA-AB,Bass Fishing,2024
2024-06-23,51.04427,-114.062019,Canada,Alberta,72,Calgary,CA-AB,Bass Fishing,2024
2024-06-30,51.04427,-114.062019,Canada,Alberta,74,Calgary,CA-AB,Bass Fishing,2024
2024-07-07,51.04427,-114.062019,Canada,Alberta,77,Calgary,CA-AB,Bass Fishing,2024
2024-07-14,51.04427,-114.062019,Canada,Alberta,76,Calgary,CA-AB,Bass Fishing,2024
