date,latitude,longitude,country,state_province,Cleaning Fish,location_name,geo_code,search_term,year,language_code,Cooking Fish,Fishing,Fishing Bait,Fishing Boat,Fishing Conditions,Fishing License,Fishing nets,Fishing Rod,Where to fish,Bass Fishing,Fly Fishing,Trout Fishing,week_number
2023-12-31,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-01-07,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-01-14,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-01-21,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-01-28,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-02-04,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-02-11,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-02-18,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-02-25,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-03-03,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-03-10,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-03-17,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-03-24,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
