date,latitude,longitude,country,Search Count,location,geo_code,search_term,year,language_code
12/31/2023,52.486243,-1.890401,United Kingdom,11,Birmingham,GB-ENG,Bass Fishing,2024,en
1/7/2024,52.486243,-1.890401,United Kingdom,10,Birmingham,GB-ENG,Bass Fishing,2024,en
1/14/2024,52.486243,-1.890401,United Kingdom,16,Birmingham,GB-ENG,Bass Fishing,2024,en
1/21/2024,52.486243,-1.890401,United Kingdom,11,Birmingham,GB-ENG,Bass Fishing,2024,en
1/28/2024,52.486243,-1.890401,United Kingdom,14,Birmingham,GB-ENG,Bass Fishing,2024,en
2/4/2024,52.486243,-1.890401,United Kingdom,10,Birmingham,GB-ENG,Bass Fishing,2024,en
2/11/2024,52.486243,-1.890401,United Kingdom,13,Birmingham,GB-ENG,Bass Fishing,2024,en
2/18/2024,52.486243,-1.890401,United Kingdom,17,Birmingham,GB-ENG,Bass Fishing,2024,en
2/25/2024,52.486243,-1.890401,United Kingdom,16,Birmingham,GB-ENG,Bass Fishing,2024,en
3/3/2024,52.486243,-1.890401,United Kingdom,15,Birmingham,GB-ENG,Bass Fishing,2024,en
3/10/2024,52.486243,-1.890401,United Kingdom,16,Birmingham,GB-ENG,Bass Fishing,2024,en
3/17/2024,52.486243,-1.890401,United Kingdom,20,Birmingham,GB-ENG,Bass Fishing,2024,en
3/24/2024,52.486243,-1.890401,United Kingdom,17,Birmingham,GB-ENG,Bass Fishing,2024,en
3/31/2024,52.486243,-1.890401,United Kingdom,20,Birmingham,GB-ENG,Bass Fishing,2024,en
4/7/2024,52.486243,-1.890401,United Kingdom,17,Birmingham,GB-ENG,Bass Fishing,2024,en
4/14/2024,52.486243,-1.890401,United Kingdom,17,Birmingham,GB-ENG,Bass Fishing,2024,en
4/21/2024,52.486243,-1.890401,United Kingdom,16,Birmingham,GB-ENG,Bass Fishing,2024,en
4/28/2024,52.486243,-1.890401,United Kingdom,21,Birmingham,GB-ENG,Bass Fishing,2024,en
5/5/2024,52.486243,-1.890401,United Kingdom,18,Birmingham,GB-ENG,Bass Fishing,2024,en
5/12/2024,52.486243,-1.890401,United Kingdom,20,Birmingham,GB-ENG,Bass Fishing,2024,en
5/19/2024,52.486243,-1.890401,United Kingdom,24,Birmingham,GB-ENG,Bass Fishing,2024,en
5/26/2024,52.486243,-1.890401,United Kingdom,21,Birmingham,GB-ENG,Bass Fishing,2024,en
6/2/2024,52.486243,-1.890401,United Kingdom,25,Birmingham,GB-ENG,Bass Fishing,2024,en
6/9/2024,52.486243,-1.890401,United Kingdom,25,Birmingham,GB-ENG,Bass Fishing,2024,en
6/16/2024,52.486243,-1.890401,United Kingdom,21,Birmingham,GB-ENG,Bass Fishing,2024,en
6/23/2024,52.486243,-1.890401,United Kingdom,28,Birmingham,GB-ENG,Bass Fishing,2024,en
6/30/2024,52.486243,-1.890401,United Kingdom,21,Birmingham,GB-ENG,Bass Fishing,2024,en
7/7/2024,52.486243,-1.890401,United Kingdom,21,Birmingham,GB-ENG,Bass Fishing,2024,en
7/14/2024,52.486243,-1.890401,United Kingdom,25,Birmingham,GB-ENG,Bass Fishing,2024,en
7/21/2024,52.486243,-1.890401,United Kingdom,28,Birmingham,GB-ENG,Bass Fishing,2024,en
7/28/2024,52.486243,-1.890401,United Kingdom,24,Birmingham,GB-ENG,Bass Fishing,2024,en
8/4/2024,52.486243,-1.890401,United Kingdom,29,Birmingham,GB-ENG,Bass Fishing,2024,en
8/11/2024,52.486243,-1.890401,United Kingdom,30,Birmingham,GB-ENG,Bass Fishing,2024,en
8/18/2024,52.486243,-1.890401,United Kingdom,29,Birmingham,GB-ENG,Bass Fishing,2024,en
8/25/2024,52.486243,-1.890401,United Kingdom,31,Birmingham,GB-ENG,Bass Fishing,2024,en
9/1/2024,52.486243,-1.890401,United Kingdom,36,Birmingham,GB-ENG,Bass Fishing,2024,en
9/8/2024,52.486243,-1.890401,United Kingdom,25,Birmingham,GB-ENG,Bass Fishing,2024,en
9/15/2024,52.486243,-1.890401,United Kingdom,20,Birmingham,GB-ENG,Bass Fishing,2024,en
9/22/2024,52.486243,-1.890401,United Kingdom,20,Birmingham,GB-ENG,Bass Fishing,2024,en
9/29/2024,52.486243,-1.890401,United Kingdom,13,Birmingham,GB-ENG,Bass Fishing,2024,en
10/6/2024,52.486243,-1.890401,United Kingdom,21,Birmingham,GB-ENG,Bass Fishing,2024,en
10/13/2024,52.486243,-1.890401,United Kingdom,15,Birmingham,GB-ENG,Bass Fishing,2024,en
