date,latitude,longitude,country,state_province,Fishing Rod,location_name,geo_code,search_term,year,language_code
2023-12-31,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-01-07,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-01-14,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-01-21,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-01-28,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-02-04,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-02-11,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-02-18,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-02-25,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-03-03,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-03-10,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-03-17,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-03-24,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-03-31,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-04-07,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-04-14,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-04-21,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-04-28,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-05-05,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-05-12,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-05-19,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-05-26,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-06-02,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-06-09,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-06-16,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-06-23,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-06-30,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-07-07,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-07-14,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-07-21,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-07-28,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-08-04,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-08-11,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-08-18,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-08-25,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-09-01,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-09-08,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-09-15,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-09-22,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-09-29,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-10-06,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-10-13,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
