date,latitude,longitude,country,state_province,Fishing,location_name,geo_code,search_term,year,language_code
2023-12-31,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-01-07,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-01-14,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-01-21,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-01-28,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-02-04,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-02-11,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-02-18,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-02-25,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-03-03,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-03-10,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-03-17,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-03-24,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-03-31,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-04-07,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-04-14,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-04-21,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-04-28,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-05-05,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-05-12,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-05-19,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-05-26,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-06-02,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-06-09,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-06-16,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-06-23,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-06-30,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-07-07,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-07-14,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-07-21,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-07-28,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-08-04,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-08-11,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-08-18,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-08-25,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-09-01,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-09-08,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-09-15,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-09-22,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-09-29,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-10-06,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-10-13,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-10-20,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-10-27,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-11-03,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-11-10,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-11-17,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-11-24,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-12-01,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-12-08,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-12-15,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-12-22,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
2024-12-29,17.8819,-76.4074,Jamaica,Saint Thomas,0,Morant Bay,JM-03,Fishing,2024,en
