date,latitude,longitude,country,state,Fishing,location,geo_code,search_term,year,language_code
2023-12-31,40.7127281,-74.0060152,United States,NY,58,New York,US-NY-501,Fishing,2024,en
2024-01-07,40.7127281,-74.0060152,United States,NY,56,New York,US-NY-501,Fishing,2024,en
2024-01-14,40.7127281,-74.0060152,United States,NY,58,New York,US-NY-501,Fishing,2024,en
2024-01-21,40.7127281,-74.0060152,United States,NY,58,New York,US-NY-501,Fishing,2024,en
2024-01-28,40.7127281,-74.0060152,United States,NY,56,New York,US-NY-501,Fishing,2024,en
2024-02-04,40.7127281,-74.0060152,United States,NY,56,New York,US-NY-501,Fishing,2024,en
2024-02-11,40.7127281,-74.0060152,United States,NY,54,New York,US-NY-501,Fishing,2024,en
2024-02-18,40.7127281,-74.0060152,United States,NY,49,New York,US-NY-501,Fishing,2024,en
2024-02-25,40.7127281,-74.0060152,United States,NY,55,New York,US-NY-501,Fishing,2024,en
2024-03-03,40.7127281,-74.0060152,United States,NY,57,New York,US-NY-501,Fishing,2024,en
2024-03-10,40.7127281,-74.0060152,United States,NY,65,New York,US-NY-501,Fishing,2024,en
2024-03-17,40.7127281,-74.0060152,United States,NY,64,New York,US-NY-501,Fishing,2024,en
2024-03-24,40.7127281,-74.0060152,United States,NY,60,New York,US-NY-501,Fishing,2024,en
2024-03-31,40.7127281,-74.0060152,United States,NY,72,New York,US-NY-501,Fishing,2024,en
2024-04-07,40.7127281,-74.0060152,United States,NY,63,New York,US-NY-501,Fishing,2024,en
2024-04-14,40.7127281,-74.0060152,United States,NY,66,New York,US-NY-501,Fishing,2024,en
2024-04-21,40.7127281,-74.0060152,United States,NY,68,New York,US-NY-501,Fishing,2024,en
2024-04-28,40.7127281,-74.0060152,United States,NY,76,New York,US-NY-501,Fishing,2024,en
2024-05-05,40.7127281,-74.0060152,United States,NY,68,New York,US-NY-501,Fishing,2024,en
2024-05-12,40.7127281,-74.0060152,United States,NY,72,New York,US-NY-501,Fishing,2024,en
2024-05-19,40.7127281,-74.0060152,United States,NY,84,New York,US-NY-501,Fishing,2024,en
2024-05-26,40.7127281,-74.0060152,United States,NY,86,New York,US-NY-501,Fishing,2024,en
2024-06-02,40.7127281,-74.0060152,United States,NY,91,New York,US-NY-501,Fishing,2024,en
2024-06-09,40.7127281,-74.0060152,United States,NY,87,New York,US-NY-501,Fishing,2024,en
2024-06-16,40.7127281,-74.0060152,United States,NY,83,New York,US-NY-501,Fishing,2024,en
2024-06-23,40.7127281,-74.0060152,United States,NY,80,New York,US-NY-501,Fishing,2024,en
2024-06-30,40.7127281,-74.0060152,United States,NY,100,New York,US-NY-501,Fishing,2024,en
2024-07-07,40.7127281,-74.0060152,United States,NY,75,New York,US-NY-501,Fishing,2024,en
2024-07-14,40.7127281,-74.0060152,United States,NY,83,New York,US-NY-501,Fishing,2024,en
2024-07-21,40.7127281,-74.0060152,United States,NY,85,New York,US-NY-501,Fishing,2024,en
2024-07-28,40.7127281,-74.0060152,United States,NY,84,New York,US-NY-501,Fishing,2024,en
2024-08-04,40.7127281,-74.0060152,United States,NY,78,New York,US-NY-501,Fishing,2024,en
2024-08-11,40.7127281,-74.0060152,United States,NY,78,New York,US-NY-501,Fishing,2024,en
2024-08-18,40.7127281,-74.0060152,United States,NY,77,New York,US-NY-501,Fishing,2024,en
2024-08-25,40.7127281,-74.0060152,United States,NY,80,New York,US-NY-501,Fishing,2024,en
2024-09-01,40.7127281,-74.0060152,United States,NY,81,New York,US-NY-501,Fishing,2024,en
2024-09-08,40.7127281,-74.0060152,United States,NY,65,New York,US-NY-501,Fishing,2024,en
2024-09-15,40.7127281,-74.0060152,United States,NY,66,New York,US-NY-501,Fishing,2024,en
2024-09-22,40.7127281,-74.0060152,United States,NY,61,New York,US-NY-501,Fishing,2024,en
2024-09-29,40.7127281,-74.0060152,United States,NY,71,New York,US-NY-501,Fishing,2024,en
2024-10-06,40.7127281,-74.0060152,United States,NY,61,New York,US-NY-501,Fishing,2024,en
2024-10-13,40.7127281,-74.0060152,United States,NY,57,New York,US-NY-501,Fishing,2024,en
2024-10-20,40.7127281,-74.0060152,United States,NY,56,New York,US-NY-501,Fishing,2024,en
2024-10-27,40.7127281,-74.0060152,United States,NY,62,New York,US-NY-501,Fishing,2024,en
2024-11-03,40.7127281,-74.0060152,United States,NY,56,New York,US-NY-501,Fishing,2024,en
2024-11-10,40.7127281,-74.0060152,United States,NY,52,New York,US-NY-501,Fishing,2024,en
2024-11-17,40.7127281,-74.0060152,United States,NY,54,New York,US-NY-501,Fishing,2024,en
2024-11-24,40.7127281,-74.0060152,United States,NY,55,New York,US-NY-501,Fishing,2024,en
2024-12-01,40.7127281,-74.0060152,United States,NY,67,New York,US-NY-501,Fishing,2024,en
2024-12-08,40.7127281,-74.0060152,United States,NY,51,New York,US-NY-501,Fishing,2024,en
2024-12-15,40.7127281,-74.0060152,United States,NY,51,New York,US-NY-501,Fishing,2024,en
2024-12-22,40.7127281,-74.0060152,United States,NY,51,New York,US-NY-501,Fishing,2024,en
2024-12-29,40.7127281,-74.0060152,United States,NY,61,New York,US-NY-501,Fishing,2024,en
