date,latitude,longitude,country,state,Where to fish,location,geo_code,search_term,year,language_code
2023-12-31,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-01-07,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-01-14,40.7127281,-74.0060152,United States,NY,1,New York,US-NY-501,Where to fish,2024,en
2024-01-21,40.7127281,-74.0060152,United States,NY,1,New York,US-NY-501,Where to fish,2024,en
2024-01-28,40.7127281,-74.0060152,United States,NY,1,New York,US-NY-501,Where to fish,2024,en
2024-02-04,40.7127281,-74.0060152,United States,NY,1,New York,US-NY-501,Where to fish,2024,en
2024-02-11,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-02-18,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-02-25,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-03-03,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-03-10,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-03-17,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-03-24,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-03-31,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-04-07,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-04-14,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-04-21,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-04-28,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-05-05,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-05-12,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-05-19,40.7127281,-74.0060152,United States,NY,3,New York,US-NY-501,Where to fish,2024,en
2024-05-26,40.7127281,-74.0060152,United States,NY,3,New York,US-NY-501,Where to fish,2024,en
2024-06-02,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-06-09,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-06-16,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-06-23,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-06-30,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-07-07,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-07-14,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-07-21,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-07-28,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-08-04,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-08-11,40.7127281,-74.0060152,United States,NY,3,New York,US-NY-501,Where to fish,2024,en
2024-08-18,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-08-25,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-09-01,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-09-08,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-09-15,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-09-22,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-09-29,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-10-06,40.7127281,-74.0060152,United States,NY,1,New York,US-NY-501,Where to fish,2024,en
2024-10-13,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-10-20,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-10-27,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-11-03,40.7127281,-74.0060152,United States,NY,3,New York,US-NY-501,Where to fish,2024,en
2024-11-10,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-11-17,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-11-24,40.7127281,-74.0060152,United States,NY,3,New York,US-NY-501,Where to fish,2024,en
2024-12-01,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-12-08,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-12-15,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
2024-12-22,40.7127281,-74.0060152,United States,NY,3,New York,US-NY-501,Where to fish,2024,en
2024-12-29,40.7127281,-74.0060152,United States,NY,2,New York,US-NY-501,Where to fish,2024,en
